"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"376S8VDQ","bookSection","2016","Hartwig, Maja; Kepper, Johannes","Die Spuren des Digitalen. Über die Nachnutzbarkeit digitaler Inhalte","""Ei, dem alten Herrn zoll' ich Achtung gern'"". Festschrift für Joachim Veit zum 60. Geburtstag","","","","","","2016","2016-02-01 15:34:19","2016-02-01 15:34:36","","319–330","","","","","","","","","","","Allitera","München","German","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42754QGD","document","","Kepper, Johannes; Morent, Stefan","Anforderungen an ein musikeditorisches Codierungsformat/Requirements for a Music-editorial Data Format","","","","","","","","2014-03-13 13:00:04","2014-03-13 13:00:04","","","","","","","","","","","","","","","","","","","","","","","","","http://www.edirom.de/fileadmin/downloads/Anforderungen_Musikcodierung.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4J36B4Q5","journalArticle","2015","Richts, Kristina; Capelle, Irmlind","Kontextuelle Tiefenerschließung von Musikalienbeständen mit MEI und TEI. Einblicke in das Detmolder Hoftheater Projekt","Forum Musikbibliothek","","0173-5187","","","","2015","2016-02-01 15:21:39","2016-02-01 15:23:52","","20–26","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4U2885BV","journalArticle","2005","Veit, Joachim","Musikwissenschaft und Computerphilologie – eine schwierige Liaison?","Jahrbuch für Computerphilologie","","1617-3465","","http://computerphilologie.tu-darmstadt.de/jg05/veit.html","From the perspective of an editor who intends to make use of the new digital technologies some of the digital libraries and numerous musical databases founded within the last years (or, in a few cases, even in the last third of the last century) prove to be very helpful for daily work. But nevertheless, digital editions in a narrow sense are very rare in the field of music. Looking for the real reason for the delay of musicology in this field of research one has to admit that music proves to be very resistant to all endeavours of encoding. The mixture of graphical and letter symbols or ›normal‹ words in musical notation and the ambiguity of many musical signs lead to a lot of problems when trying to find a good, comprehensive and lasting representing system – which is the precondition for all sorts of analytical operations and for long-term editions too. Today all editions are done with proprietary software often totally out-dated a few years after publication. So one of the most urgent tasks is to find a standard representing system for music (notation). MusicXML and the XML-Code of the Music Encoding Initiative (MEI) are important steps on the way to a form of encoding which will allow the integration of versions and variants and their future re-visualization on the screen. A further problem is the electronic ›mapping‹ of music facsimiles. (Such facsimiles are of the utmost importance for editorial arguing.) But musicologists share these problems with all scholars dealing with ›written‹ documents, and this should be a cause to take joint action.","2005","2014-03-07 10:04:23","2014-03-07 10:59:57","2014-03-07 10:04:23","67–92","","7","","","","","","","","","","","de","","","","","","","","","/Users/kristin/Library/Application Support/Firefox/Profiles/pszdy57b.default/zotero/storage/B4XN3IA8/veit.html","","","","Braungart, Georg; Eibl, Karl; Jannidis, Fotis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56MEK3HN","bookSection","2016","Komprecht, Anna Maria; Röwenstrunk, Daniel","Projektmanagement in digitalen Forschungsprojekten. Ein Leitfaden für interdisziplinäre und kooperative Drittmittelprojekte im Umfeld Digitaler Editionen","""Ei, dem alten Herrn zoll' ich Achtung gern'"". Festschrift für Joachim Veit zum 60. Geburtstag","","","","","","2016","2016-02-01 15:36:35","2016-02-01 15:36:35","","509–522","","","","","","","","","","","Allitera","München","German","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73U6UDR5","conferencePaper","2013","Viglianti, Raffaele; Schreiter, Solveig; Bohl, Benjamin","A stand-off critical apparatus for the libretto of Der Freischütz","","","","","","","2013-10-05","2014-03-06 13:52:18","2014-03-13 07:36:49","","","","","","","","","","","","","","","en","","","","","","","","","","","FreiDi; TEI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7GKWWI73","presentation","2006","Kepper, Johannes","Codierungsformen von Musik","","","","","http://www.edirom.de/fileadmin/Literatur/kepper.pdf","","2006-11-16","2016-01-04 13:00:32","2016-01-04 13:03:07","2016-01-04","","","","","","","","","","","","","Mainz","de_DE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digitale Medien und Musikedition","","","","","","","","","","","","","","","",""
"7T6IHB67","book","2014","Beer, Nikolaos; Herold, Kristin; Kolbmann, Wibke; Kollatz, Thomas; Romanello, Matteo; Rose, Sebastian; Walkowski, Nils-Oliver","Interdisciplinary Interoperability","","","","","http://d-nb.info/1048629198/34","","2014","2014-03-19 15:50:37","2014-03-19 15:55:11","","","","","3","","","","DARIAH-DE Working Papers","","","","","Göttingen","","","","","","","","","","","","Interoperabilität","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7XCFGVPJ","conferencePaper","2014","Bohl, Benjamin W.","Transform-Proof-Transform. A generic set of tools for a special toolchain in the Freischütz Digital project.","","","","","","","2014-05-22","2014-06-16 12:47:09","2014-06-16 12:50:13","","","","","","","","","","","","","","Charlottesville, VA","en","","","","","","","","","","","FreiDi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Music Encoding Conference","","","","","","","","","","","","","","",""
"CHUKFBKD","bookSection","2016","Bohl, Benjamin Wolff; Berndt, Axel; Waloschek, Simon; Hadjakos, Aristotelis","Dem Igel Sitte lehren ... Musikedition: von der digitalen Verfügbarkeit zur aktiven Nutzung","""Ei, dem alten Herrn zoll' ich Achtung gern'"". Festschrift für Joachim Veit zum 60. Geburtstag","","","","","","2016","2016-02-01 15:32:32","2016-02-01 15:32:32","","141–163","","","","","","","","","","","Allitera","München","German","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
